경로,제품코드,제품명,판매가
Shopee(PH),BA00029,퍼플라이스포어클렌징오일[200ml/-],"35,866"
Shopee(PH),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"32,768"
Shopee(PH),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"32,768"
Shopee(VN),BA00021,바쿠치올플럼핑세럼[30ml/-],"36,095"
Shopee(VN),BA00022,비타민일루미네이팅세럼[30ml/-],"36,095"
Shopee(VN),BA00024,스위밍풀토너[155ml/-],"20,617"
Shopee(VN),BA00023,스위밍풀토너[300ml/-],"33,025"
Shopee(VN),BA00027,퍼플라이스포어팩클렌저[130g/-],"34,310"
Shopee(VN),BA00028,퍼플PDRN포어세럼[30ml/-],"35,866"
Shopee(VN),BA00029,퍼플라이스포어클렌징오일[200ml/-],"35,866"
Shopee(VN),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"32,768"
Shopee(VN),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"32,768"
Shopee(TW),BA00021,바쿠치올플럼핑세럼[30ml/-],"38,750"
Shopee(TW),BA00022,비타민일루미네이팅세럼[30ml/-],"38,750"
Shopee(TW),BA00024,스위밍풀토너[155ml/-],"23,159"
Shopee(TW),BA00023,스위밍풀토너[300ml/-],"34,024"
Shopee(TW),BA00027,퍼플라이스포어팩클렌저[130g/-],"35,766"
Shopee(TW),BA00028,퍼플PDRN포어세럼[30ml/-],"37,751"
Shopee(TW),BA00029,퍼플라이스포어클렌징오일[200ml/-],"37,751"
Shopee(TW),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"34,024"
Shopee(TW),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"34,024"
Shopee(TH),BA00021,바쿠치올플럼핑세럼[30ml/-],"43,092"
Shopee(TH),BA00022,비타민일루미네이팅세럼[30ml/-],"43,092"
Shopee(TH),BA00024,스위밍풀토너[155ml/-],"25,130"
Shopee(TH),BA00027,퍼플라이스포어팩클렌저[130g/-],"32,004"
Shopee(TH),BA00028,퍼플PDRN포어세럼[30ml/-],"33,712"
Shopee(TH),BA00029,퍼플라이스포어클렌징오일[200ml/-],"33,712"
Shopee(TH),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"42,672"
Shopee(TH),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"42,672"
Amazon(USA),BA00021,바쿠치올플럼핑세럼[30ml/-],"28,786"
Amazon(USA),BA00022,비타민일루미네이팅세럼[30ml/-],"28,786"
Amazon(USA),BA00023,스위밍풀토너[300ml/-],"27,346"
Amazon(USA),BA00026,스위밍풀앰플[50ml/-],"29,794"
Amazon(USA),BA00025,스위밍풀토너패드[220ml|70매/-],"31,666"
Amazon(USA),BA00027,퍼플라이스포어팩클렌저[130g/-],"27,346"
Amazon(USA),BA00028,퍼플PDRN포어세럼[30ml/-],"28,786"
Amazon(USA),BA00029,퍼플라이스포어클렌징오일[200ml/-],"28,786"
Amazon(USA),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"27,346"
Amazon(USA),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"27,346"
TikTokShop(USA),BA00021,바쿠치올플럼핑세럼[30ml/-],"28,786"
TikTokShop(USA),BA00022,비타민일루미네이팅세럼[30ml/-],"28,786"
TikTokShop(USA),BA00023,스위밍풀토너[300ml/-],"27,346"
TikTokShop(USA),BA00026,스위밍풀앰플[50ml/-],"29,794"
TikTokShop(USA),BA00025,스위밍풀토너패드[220ml|70매/-],"31,666"
TikTokShop(USA),BA00027,퍼플라이스포어팩클렌저[130g/-],"27,346"
TikTokShop(USA),BA00028,퍼플PDRN포어세럼[30ml/-],"28,786"
TikTokShop(USA),BA00029,퍼플라이스포어클렌징오일[200ml/-],"28,786"
TikTokShop(USA),BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"27,346"
TikTokShop(USA),BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"27,346"
Amazon(USA),BA00039,이퀄베리-바쿠치올플럼핑캡슐크림[50ml/-],"36,386"
Shopee(PH),BA00039,이퀄베리-바쿠치올플럼핑캡슐크림[50ml/-],"34,888"
Shopee(MY),BA00039,이퀄베리-바쿠치올플럼핑캡슐크림[50ml/-],"35,322"
Shopee(SG),BA00039,이퀄베리-바쿠치올플럼핑캡슐크림[50ml/-],"35,588"
Shopee(VN),BA00039,이퀄베리-바쿠치올플럼핑캡슐크림[50ml/-],"36,316"
Shopee(TW),BA00039,이퀄베리-바쿠치올플럼핑캡슐크림[50ml/-],"35,462"
Shopee(TH),BA00039,이퀄베리-바쿠치올플럼핑캡슐크림[50ml/-],"35,840"
